2684,38,65
9038,48,76
7376,52,60
5300,45,77
6856,38,71
478,18,79
4640,34,80
7383,45,99
2039,13,63
6716,56,99
10029,23,71
1672,14,95
5341,45,85
8975,14,71
7303,24,77
7762,24,56
3409,54,67
262,37,62
6412,18,67
9816,52,74
5539,29,5
7105,25,68
2442,22,53
2552,6,77
8454,26,78
7315,49,62
6534,24,64
5380,31,43
2238,22,68
8803,34,83
1004,25,74
5249,55,65
7313,17,67
2986,51,67
4237,54,96
2266,43,63
7639,42,69
7512,34,90
3361,57,71
3647,34,82
9105,51,94
3404,51,81
4999,43,68
8685,37,61
3830,31,28
9767,42,73
9950,45,66
7979,43,38
2728,26,19
2914,32,83
1843,23,74
3286,18,94
1751,47,93
1402,51,81
7168,20,75
6080,52,22
2695,16,96
3361,20,65
2308,41,81
6758,45,62
9133,33,98
2712,26,77
5667,41,12
9894,20,76
8812,21,76
8025,45,85
5449,6,76
8549,9,86
1446,24,87
3882,33,91
6401,40,64
6037,11,67
7919,57,64
4321,36,66
3766,6,87
3419,48,85
4424,11,87
7760,29,61
8768,31,34
3341,24,1
4679,40,67
2126,40,30
9499,12,84
9657,35,85
7055,30,77
4094,24,69
3164,40,76
4146,41,84
2096,36,88
7789,52,80
5836,35,74
4746,48,32
4875,20,63
1395,37,54
9504,52,69
4072,51,88
2525,11,88
369,50,89
2018,27,64
8804,31,84
5014,33,75
8012,18,44
4875,22,81
1544,38,72
5199,28,82
794,24,65
10043,48,72
1894,47,57
8983,13,79
8304,21,36
9229,55,61
6446,56,86
9284,8,70
1705,37,63
3007,50,100
9956,21,64
1876,11,86
5201,19,71
6174,23,66
9124,32,70
8332,12,89
5928,52,15
7329,47,72
923,37,61
4532,37,7
6441,42,49
8815,22,61
6327,41,86
3602,48,88
2677,51,69
10102,28,69
4856,35,43
8033,36,63
9529,25,84
5575,39,8
9540,18,99
1482,53,76
2416,49,49
8214,57,73
5021,49,74
6726,22,69
6933,32,76
7001,28,69
7587,45,18
455,14,96
4242,10,85
5483,43,12
1359,21,2
1612,56,77
739,12,75
5252,6,75
6352,26,98
5028,11,80
392,37,60
5403,40,78
9065,12,70
1864,53,78
5362,33,85
6006,19,80
1752,55,78
7441,26,81
7024,21,67
6347,30,88
2588,26,89
6775,45,82
9940,15,77
2092,14,99
1902,32,73
7781,22,78
3791,8,72
5662,11,91
9819,6,64
2021,24,80
8272,15,19
9291,32,75
1657,55,60
7812,18,22
2067,24,60
8434,54,78
3359,52,83
1346,40,71
5742,23,77
6528,18,84
5082,41,86
236,43,74
1556,25,66
8060,34,60
6084,8,7
5687,20,86
